y1_id,campus,size,m,rule,wwt_v2,wwt_v2_natural_random
c05_replay_150_0119_m0.6,5,150,0.6,wspt,0.0,
c05_replay_150_0119_m0.6,5,150,0.6,atc,0.0,
c05_replay_150_0119_m0.6,5,150,0.6,pfifo,0.0,
c05_replay_150_0119_m0.6,5,150,0.6,mor,0.0,
c05_replay_150_0119_m0.6,5,150,0.6,random,0.0,0.0
c05_replay_150_0127_m0.8,5,150,0.8,edd,0.0,
c05_replay_150_0127_m0.8,5,150,0.8,wspt,0.0,
c05_replay_150_0127_m0.8,5,150,0.8,atc,0.0,
c05_replay_150_0127_m0.8,5,150,0.8,pfifo,0.0,
c05_replay_150_0127_m0.8,5,150,0.8,mor,0.0,
c05_replay_150_0127_m0.8,5,150,0.8,random,0.0,0.0
c05_replay_150_0121_m0.6,5,150,0.6,edd,0.0,
c05_replay_150_0121_m0.6,5,150,0.6,wspt,0.0,
c05_replay_150_0121_m0.6,5,150,0.6,atc,0.0,
c05_replay_150_0121_m0.6,5,150,0.6,pfifo,0.0,
c05_replay_150_0121_m0.6,5,150,0.6,mor,0.0,
c05_replay_150_0121_m0.6,5,150,0.6,random,0.0,0.0
c05_replay_150_0121_m0.8,5,150,0.8,edd,0.0,
c05_replay_150_0121_m0.8,5,150,0.8,wspt,0.0,
c05_replay_150_0121_m0.8,5,150,0.8,atc,0.0,
c05_replay_150_0121_m0.8,5,150,0.8,pfifo,0.0,
c05_replay_150_0121_m0.8,5,150,0.8,mor,0.0,
c05_replay_150_0121_m0.8,5,150,0.8,random,0.0,0.0
c05_replay_150_0128_m0.6,5,150,0.6,edd,21.729600000000005,
c05_replay_150_0128_m0.6,5,150,0.6,wspt,21.729600000000005,
c05_replay_150_0128_m0.6,5,150,0.6,atc,21.729600000000005,
c05_replay_150_0128_m0.6,5,150,0.6,pfifo,21.729600000000005,
c05_replay_150_0128_m0.6,5,150,0.6,mor,21.729600000000005,
c05_replay_150_0128_m0.6,5,150,0.6,random,21.729600000000005,21.729600000000005
c05_replay_150_0120_m0.8,5,150,0.8,edd,0.0,
c05_replay_150_0120_m0.8,5,150,0.8,wspt,0.0,
c05_replay_150_0120_m0.8,5,150,0.8,atc,0.0,
c05_replay_150_0120_m0.8,5,150,0.8,pfifo,0.0,
c05_replay_150_0120_m0.8,5,150,0.8,mor,0.0,
c05_replay_150_0120_m0.8,5,150,0.8,random,0.0,0.0
c05_replay_150_0122,5,150,1.0,edd,0.0,
c05_replay_150_0122,5,150,1.0,wspt,0.0,
c05_replay_150_0122,5,150,1.0,atc,0.0,
c05_replay_150_0122,5,150,1.0,pfifo,0.0,
c05_replay_150_0122,5,150,1.0,mor,0.0,
c05_replay_150_0122,5,150,1.0,random,0.0,0.0
c05_replay_150_0126_m0.8,5,150,0.8,edd,0.0,
c05_replay_150_0126_m0.8,5,150,0.8,wspt,0.0,
c05_replay_150_0126_m0.8,5,150,0.8,atc,0.0,
c05_replay_150_0126_m0.8,5,150,0.8,pfifo,0.0,
c05_replay_150_0126_m0.8,5,150,0.8,mor,0.0,
c05_replay_150_0126_m0.8,5,150,0.8,random,0.0,0.0
c05_replay_150_0130_m0.8,5,150,0.8,edd,0.0,
c05_replay_150_0130_m0.8,5,150,0.8,wspt,0.0,
c05_replay_150_0130_m0.8,5,150,0.8,atc,0.0,
c05_replay_150_0130_m0.8,5,150,0.8,pfifo,0.0,
c05_replay_150_0130_m0.8,5,150,0.8,mor,0.0,
c05_replay_150_0130_m0.8,5,150,0.8,random,0.0,0.0
c05_replay_150_0128_m0.8,5,150,0.8,edd,21.729600000000005,
c05_replay_150_0128_m0.8,5,150,0.8,wspt,21.729600000000005,
c05_replay_150_0128_m0.8,5,150,0.8,atc,21.729600000000005,
c05_replay_150_0128_m0.8,5,150,0.8,pfifo,21.729600000000005,
c05_replay_150_0128_m0.8,5,150,0.8,mor,21.729600000000005,
c05_replay_150_0128_m0.8,5,150,0.8,random,21.729600000000005,21.729600000000005
c05_replay_150_0129_m0.6,5,150,0.6,edd,0.0,
c05_replay_150_0129_m0.6,5,150,0.6,wspt,0.0,
c05_replay_150_0129_m0.6,5,150,0.6,atc,0.0,
c05_replay_150_0129_m0.6,5,150,0.6,pfifo,0.0,
c05_replay_150_0129_m0.6,5,150,0.6,mor,0.0,
